Customer ID,Name,Surname,Gender,Birthdate,Transaction Amount,Date,Merchant Name,Category
vwx0116,Karen,Lee,F,19-08-1991,1853.50,15-07-2031,Davis-Ramirez,Clothing
xyz0117,Kevin,Young,M,25-03-1987,1749.60,10-08-2031,Cooper-Perry,Travel
def0118,John,Torres,M,11-02-1986,2210.30,14-09-2031,Cook-Wilson,Restaurant
ghi0119,Susan,Hernandez,F,26-10-1993,1458.40,24-10-2031,Young-Jackson,Cosmetic
jkl0120,Thomas,Martinez,M,09-01-1976,1584.90,10-11-2031,Scott-Davis,Electronics
mno0121,Nancy,Johnson,F,05-05-1982,1967.60,02-12-2031,Garcia-Roberts,Market
@!*45ert,Kate,Harris,F,09-10-1986,520000.00,30-03-2024,Innovatech,Other
pqr0122,Charles,Anderson,M,29-12-1988,1751.80,08-01-2032,Davis-Moore,Clothing
stu0123,Ashley,Wilson,F,18-04-1984,1405.50,14-02-2032,Johnson-Cook,Travel
vwx0124,Jennifer,Hall,F,11-02-1981,2123.90,15-03-2032,Cook-Young,Restaurant
xyz0125,David,Garcia,M,27-01-1975,1632.20,24-04-2032,Perry-Ramirez,Cosmetic
def0126,Laura,Thompson,F,09-11-1989,1945.30,30-05-2032,Wilson-Brown,Electronics
ghi0127,Michael,Anderson,M,22-09-1980,1897.90,14-06-2032,Scott-Hernandez,Market
jkl0128,Rebecca,Williams,F,02-04-1990,1768.60,28-07-2032,Johnson-Young,Clothing
mno0129,Joseph,Evans,M,08-05-1993,1457.20,19-08-2032,Morris-Gonzalez,Travel
^&*90asdf,Penny,Baker,F,14-04-1990,530000.00,09-09-2024,NextGen Tech,Other
pqr0130,Ashley,Lee,F,14-06-1994,2089.80,24-09-2032,Cook-Moore,Restaurant
stu0131,Susan,Clark,F,22-07-1986,1895.40,14-10-2032,Davis-Roberts,Cosmetic
vwx0132,Christopher,Lee,M,20-10-1994,2254.60,18-11-2032,Garcia-King,Electronics
xyz0133,Nancy,Moore,F,25-03-1981,1789.20,12-12-2032,Wilson-Brown,Market
def0134,William,Johnson,M,11-05-1987,1482.70,28-01-2033,Hernandez-Young,Clothing
^&*23yui,Liam,Scott,M,03-06-1987,680000.00,24-04-2024,Future Vision,Other
ghi0135,Emma,Brown,F,04-11-1985,2034.80,15-02-2033,Garcia-Davis,Travel
jkl0136,Michael,Johnson,M,20-12-1991,1556.40,01-03-2033,Johnson-Morris,Restaurant
mno0137,Karen,Garcia,F,19-06-1989,1990.30,08-04-2033,Walker-Perry,Cosmetic
pqr0138,David,Smith,M,29-08-1980,1689.70,15-05-2033,Cook-Young,Electronics
stu0139,John,Wright,M,22-04-1985,1475.40,03-06-2033,Cooper-Roberts,Market
vwx0140,Victoria,Thomas,F,10-02-1986,2098.50,14-07-2033,Davis-Moore,Clothing
xyz0141,Linda,Ramirez,F,19-12-1982,1747.80,30-08-2033,Young-King,Travel
def0142,Michael,Johnson,M,25-01-1990,2233.40,10-09-2033,Scott-Brown,Restaurant
ghi0143,Ashley,Wright,F,12-06-1983,1991.20,28-10-2033,Perry-Young,Cosmetic
jkl0144,Thomas,Lee,M,30-11-1987,1755.90,14-11-2033,Cook-Scott,Electronics
mno0145,Daniel,Hall,M,28-08-1986,1622.50,22-12-2033,Davis-Roberts,Market
pqr0146,Karen,Lopez,F,21-09-1989,1550.80,06-01-2034,Wilson-Brown,Clothing
stu0147,Emily,Walker,F,11-07-1980,1993.70,15-02-2034,Johnson-Moore,Travel
vwx0148,John,Hernandez,M,02-10-1991,2128.40,24-03-2034,Cook-Roberts,Restaurant
xyz0149,Jessica,Johnson,F,15-03-1986,1895.30,11-04-2034,Young-Ramirez,Cosmetic
def0150,James,Brown,M,21-06-1992,1706.80,28-05-2034,Hernandez-Scott,Electronics
ghi0151,Linda,Clark,F,25-04-1975,1981.70,20-06-2034,Cooper-Bennett,Market
jkl0152,David,Garcia,M,15-12-1984,1576.90,14-07-2034,Young-Johnson,Clothing
mno0153,Laura,Roberts,F,30-09-1994,1987.40,22-08-2034,Johnson-Scott,Travel
pqr0154,Jason,Thompson,M,13-02-1995,2134.60,28-09-2034,Cook-Hernandez,Restaurant
stu0155,Ashley,Wright,F,18-10-1986,1960.20,02-11-2034,Perry-Ramirez,Cosmetic
vwx0156,Charles,Brown,M,22-09-1981,1470.80,01-12-2034,Davis-Moore,Electronics
xyz0157,Sarah,Garcia,F,05-11-1994,2290.10,05-01-2035,Young-Scott,Market
def0158,Daniel,Martinez,M,30-12-1990,1711.30,17-02-2035,Wilson-Cook,Clothing
ghi0159,Amy,Evans,F,12-03-1983,1783.70,14-03-2035,Johnson-Walker,Travel
jkl0160,Thomas,Brown,M,15-10-1982,1450.20,22-04-2035,Cook-Bennett,Restaurant
mno0161,Victoria,Clark,F,18-07-1992,1952.50,12-05-2035,Garcia-Young,Cosmetic
pqr0162,Robert,Lopez,M,20-06-1995,1763.90,01-06-2035,Johnson-Moore,Electronics
stu0163,Linda,Smith,F,10-02-1981,1889.40,19-07-2035,Davis-Young,Market
vwx0164,John,Wilson,M,01-04-1988,2174.60,02-08-2035,Cook-Ramirez,Clothing
xyz0165,Angela,Moore,F,14-05-1983,1427.70,13-09-2035,Johnson-Bennett,Travel
def0166,Michael,Johnson,M,29-07-1987,1635.50,26-10-2035,Scott-Young,Restaurant
ghi0167,Nancy,Smith,F,22-02-1991,1856.30,04-11-2035,Perry-Roberts,Cosmetic
#@!67fdsa,Mia,Young,F,17-11-1991,620000.00,28-05-2024,Dynamic Corp,Other
jkl0168,David,Garcia,M,25-06-1975,2155.40,16-12-2035,Cook-Walker,Electronics
mno0169,Ashley,Brown,F,20-10-1982,1781.70,14-01-2036,Johnson-Morris,Market
pqr0170,William,Wright,M,04-09-1986,2038.80,24-02-2036,Davis-Scott,Clothing
stu0171,Karen,Johnson,F,15-11-1989,1974.20,10-03-2036,Cook-Roberts,Travel
vwx0172,Michael,Lee,M,30-12-1990,1662.10,01-04-2036,Wilson-Brown,Restaurant
xyz0173,Jessica,Moore,F,12-02-1993,1550.80,05-05-2036,Johnson-Moore,Cosmetic
def0174,Christopher,Clark,M,25-03-1985,2232.40,14-06-2036,Garcia-Davis,Electronics
ghi0175,Ashley,Garcia,F,28-08-1988,1455.70,30-07-2036,Davis-Moore,Market
jkl0176,Thomas,Martinez,M,11-10-1980,2094.10,14-08-2036,Cook-Hernandez,Clothing
!@#45wqert,Owen,Campbell,M,21-08-1993,730000.00,19-08-2024,Innovation Hub,Other
mno0177,Laura,Wilson,F,21-09-1991,1954.30,22-09-2036,Perry-Roberts,Travel
pqr0178,James,Anderson,M,02-11-1985,1709.20,02-10-2036,Davis-Johnson,Restaurant
stu0179,Nancy,Young,F,05-05-1994,1878.50,10-11-2036,Wilson-Cook,Cosmetic
$%^12nbvc,Nina,King,F,29-03-1984,490000.00,02-07-2024,Tech Giants,Other
vwx0180,Robert,Smith,M,15-01-1992,1682.70,25-12-2036,Johnson-Moore,Electronics
xyz0181,Amy,Brown,F,30-04-1984,2223.10,18-01-2037,Garcia-Walker,Market
def0182,Michael,Johnson,M,21-08-1985,1478.90,09-02-2037,Cook-Roberts,Clothing
!@#12abc,Alice,Green,F,15-01-1990,450000.00,05-05-2024,XYZ Corporation,Other
ghi0183,Susan,Martinez,F,25-03-1990,1999.60,30-03-2037,Davis-Ramirez,Travel
jkl0184,David,Wilson,M,12-11-1986,1834.80,16-05-2037,Scott-Brown,Restaurant
mno0185,Jessica,Smith,F,07-02-1993,1947.50,25-06-2037,Young-Gonzalez,Cosmetic
*^&90ghj,Grace,Adams,F,25-07-1983,510000.00,03-11-2024,Tech Innovations,Other
pqr0186,Kevin,Garcia,M,18-07-1980,1705.60,10-07-2037,Cook-Moore,Electronics
stu0187,Ashley,Clark,F,14-05-1989,2056.40,16-08-2037,Davis-Young,Market
vwx0188,Thomas,Thompson,M,21-08-1984,1520.10,22-09-2037,Wilson-Roberts,Clothing
xyz0189,Emily,Martinez,F,15-09-1982,1985.20,30-10-2037,Johnson-Cook,Travel
def0190,Joshua,Brown,M,28-02-1985,2130.30,01-11-2037,Cook-Young,Restaurant
ghi0191,Laura,Lopez,F,30-06-1991,1468.80,05-12-2037,Garcia-Wilson,Cosmetic
jkl0192,Daniel,Thompson,M,18-03-1993,2224.90,10-01-2038,Cook-Johnson,Electronics
mno0193,Amy,Johnson,F,15-10-1981,1567.70,18-02-2038,Davis-Moore,Market
pqr0194,John,Brown,M,28-04-1989,1701.20,03-03-2038,Davis-Ramirez,Clothing
!@34hjkl,Henry,Lee,M,11-12-1975,600000.00,21-12-2024,Elite Services,Other
stu0195,Michael,Clark,M,07-12-1988,2119.40,12-04-2038,Johnson-Young,Travel
$%78jkl*,Bob,Brown,M,22-06-1985,320000.00,15-06-2024,ABC Industries,Other
vwx0196,Emily,Martinez,F,21-11-1985,1935.70,25-05-2038,Cook-Wilson,Restaurant
xyz0197,Charles,Wright,M,14-04-1994,1564.20,12-06-2038,Garcia-Moore,Cosmetic
def0198,Rebecca,Smith,F,19-01-1990,1761.30,30-07-2038,Davis-Scott,Electronics
ghi0199,David,Williams,M,25-12-1982,2079.40,24-08-2038,Young-Brown,Market
jkl0200,Angela,Johnson,F,14-05-1988,1450.10,20-09-2038,Cook-Roberts,Clothing
